N,P,K,pH,EC,OC,B,Zn,Fe,Mn,Cu,S,Crop
259,22,546,8.24,0.49,0.71,2.81,1.94,1.91,5.12,3.31,53,Rice
166,15,211,7.36,0.29,0.29,0.94,1.28,1.5,7.93,3.31,43,Jawar
179,20,239,7.2,0.29,0.29,0.38,2.18,1.81,7.58,3.31,40,Rice
124,29,296,7.61,0.61,0.48,2,0.03,4.62,32.88,3.31,24,Rice
174,40,660,8.11,0.25,0.41,0.74,1.32,2.32,8.25,3.31,19,Rice
19,30,241,7.12,0.46,0.3,2,0.81,11.28,33.16,3.31,18,Cotton
163,30,522,7.46,0.18,0.38,4.94,0.278,6.548,7.566,3.306,34,Rice
166,200,376,8.48,0.3,0.7,0.54,0.49,3.58,2.3,3.3,42,Rice
56,94,192,8.55,0.19,0.59,0.9,0.49,12.15,6.76,3.3,27,Cotton
168,47,401,8.17,0.08,0.33,0.94,1.48,1.19,21.24,3.3,14,Rice
159,44,456,7.35,0.49,0.71,0.74,1.82,2.01,20.22,3.3,14,Rice
168,24,336,7.44,1.25,0.25,3.78,0.26,6.91,4.91,3.29,27,Rice
127,36,632,8.13,0.29,0.71,0.93,1.22,0.59,1.5,3.29,24,Rice
196,69,390,7.89,0.41,0.54,8.37,0.92,10.33,6.77,3.29,13,Rice
125,63,720,7.82,0.28,0.44,5.95,0.274,14.32,13.22,3.286,63,Rice
147,156,96,7.75,0.27,0.58,0.93,0.61,11.99,5.37,3.28,81,Cotton
107,40,422,8.21,0.49,0.41,0.56,0.52,3.74,4.13,3.28,71,Rice
128,163,224,8.04,0.24,0.7,0.93,0.62,5.58,8.91,3.28,40,Rice
164,15,666,7.35,0.18,0.41,0.72,3.02,20.82,16.68,3.28,38,Jawar
136,15,422,8.19,0.28,0.34,0.74,2.26,7.64,8.07,3.28,33,Jawar
124,29,571,7.36,0.09,0.31,0.74,2.09,0.82,4.93,3.28,33,Rice
126,15,462,7.35,0.36,0.36,4.2,1.78,5.8,4.73,3.28,31,Jawar
119,51,592,8.19,0.24,0.29,0.72,0.46,3.91,2.18,3.28,24,Rice
109,15,598,8.11,0.31,0.41,0.59,1.09,4.74,27.04,3.28,19,Jawar
72,78,315,8.39,0.39,0.11,1.285,0.119,7.299,4.236,3.278,58,Rice
59,203,114,7.63,0.1,0.29,4.496,1.02,11.16,7.716,3.276,168,Cotton
119,203,224,6.68,0.81,0.75,1.38,0.57,3.02,7.24,3.27,38,Rice
191,166,200,5.47,0.27,0.61,0.7,0.99,2.65,0.8,3.27,27,Rice
207,166,192,8.92,0.79,0.74,0.61,0.32,7.47,6.14,3.26,76,Rice
213,25,326,7.92,0.65,0.95,0.87,2.36,6.25,8.36,3.26,62,Rice
203,86,203,7.92,0.36,0.95,0.87,2.36,2.36,8.36,3.26,62,Rice
203,24,302,7.92,0.65,0.95,0.87,1.236,2.36,8.36,3.26,62,Rice
203,25,302,7.92,0.65,0.95,0.87,2.36,2.36,6.34,3.26,62,Rice
302,86,302,7.92,0.36,0.32,0.87,2.36,2.36,6.34,3.26,62,Rice
193,44,536,8.46,0.39,0.32,5.13,0.8,0.82,9.48,3.26,58,Rice
213,86,302,7.92,0.32,0.95,0.87,2.36,2.36,8.36,3.26,52,Rice
225,37,552,7.33,1.05,0.77,9.72,0.46,6.15,3.59,3.26,50,Rice
146,15,190,8.5,0.34,0.31,3.6,3.65,4.56,10.96,3.26,42,Jawar
182,24,324,7.45,0.17,0.11,5.13,0.18,3.16,2.91,3.26,16,Rice
165,18,480,7.58,0.84,0.36,9.18,0.69,1.04,7.39,3.25,32,Jawar
260,22,192,8.58,0.38,0.59,1.12,0.81,6.74,2.17,3.25,24,Rice
163,54,445,7.74,0.1,0.29,9.12,0.326,12.72,3.746,3.244,87,Rice
113,147,273,7.42,0.17,0.53,4.18,0.37,8.48,6.662,3.242,280,Rice
191,216,232,5.98,0.92,0.74,0.61,1.24,5.44,0.8,3.24,38,Rice
196,47,72,7.21,0.4,0.38,1.72,1.33,0.34,11.76,3.24,29,Cotton
138,22,120,7.78,0.21,0.38,0.26,2.36,1.126,18.7,3.238,50,Rice
90.9,191,174,7.44,0.15,0.28,0.96,1.068,4.514,4.092,3.236,124,Rice
185,100,32,8.76,0.17,0.66,0.86,0.57,3.74,3.74,3.23,68,Cotton
163,69,128,8.66,1.2,0.62,0.96,0.6,5.31,5.43,3.23,59,Rice
178,88,304,8.77,0.31,0.54,1.18,0.34,5.47,3.74,3.23,54,Rice
194,18,347,7.56,0.36,0.32,0.82,1.72,0.71,14.34,3.23,52,Jawar
164,15,666,8.19,0.13,0.33,1.07,1.59,3.41,20.4,3.23,48,Jawar
103,128,384,8.42,0.28,0.67,0.8,0.6,5.47,5.58,3.23,36,Rice
169,131,176,8.9,0.24,0.56,1.73,0.83,5.47,5.58,3.23,35,Rice
47,22,168,8.64,0.6,0.67,0.86,0.23,6.17,3.32,3.23,31,Cotton
142,15,428,7.41,0.06,0.41,0.86,1.59,1.32,12.05,3.23,29,Jawar
276,141,232,8.48,0.51,0.59,0.74,0.64,5.86,6.85,3.23,28,Rice
181,241,296,8.73,1.34,0.89,0.61,0.67,3.74,5.58,3.23,24,Rice
169,51,401,7.36,0.17,0.31,0.68,1.44,3.21,10.2,3.23,14,Rice
210,32,528,7.88,0.42,0.19,2.16,1.08,6.23,4.19,3.22,34,Rice
130,18,469,8.48,0.59,0.44,1.36,8.49,4.09,1.69,3.21,71,Jawar
203,25,302,7.92,0.65,0.95,0.87,1.236,6.25,8.36,3.21,62,Rice
203,25,302,7.92,0.36,0.95,0.87,2.36,2.36,8.36,3.21,62,Rice
176,33,524,8.31,0.07,0.32,0.58,1.17,4.76,18.32,3.21,52,Rice
236,86,302,7.92,0.36,0.95,0.87,2.36,6.25,8.36,3.21,52,Rice
213,25,526,7.92,0.69,0.32,0.87,1.236,1.32,6.34,3.21,52,Rice
134,88,184,8.04,0.09,0.68,1.38,0.68,8.03,4.22,3.21,51,Rice
215,31,360,8.64,0.19,0.88,2.43,0.36,6.25,4.18,3.21,50,Rice
109,178,144,7.7,0.24,0.74,1.6,0.67,2.12,10.17,3.21,43,Rice
180,26,292,7.29,0.76,0.29,0.92,3.27,1.91,8.19,3.21,42,Rice
246,55,630,8.38,0.19,0.37,1.35,0.36,3.21,2.88,3.21,42,Rice
192,35,630,8.75,0.87,0.28,10.35,0.34,2.94,2.88,3.21,42,Rice
109,238,392,8.57,0.46,0.71,1.54,1.07,2.62,4.22,3.21,33,Rice
98,29,469,8.16,0.72,0.41,0.89,1.94,0.07,3.93,3.21,33,Rice
102,25,265,8.32,0.36,0.71,0.95,1.362,2.36,5.36,3.21,24,Rice
121,20,260,7.21,0.21,0.31,0.86,0.24,0.51,34.66,3.21,18,Rice
68,40,378,7.35,0.15,0.68,1.24,0.58,5.62,5.25,3.21,17,Cotton
152,36,374,7.59,0.81,0.39,0.92,0.39,2.13,5.07,3.21,14,Rice
90.9,172,324,7.93,0.17,0.1,1.61,4.21,10.57,7.566,3.206,95,Cotton
52,75,336,8.66,0.26,0.52,0.77,0.34,6.17,5.43,3.2,76,Cotton
139,44,354,7.36,0.17,0.32,1.79,1.74,0.54,8.7,3.2,14,Cotton
90,100,228,8.48,0.31,0.29,1.38,3.298,5.86,16.87,3.198,84,Cotton
45,50,592,8.29,0.12,0.21,1.002,0.39,7.8,4.296,3.196,43,Cotton
152,22,360,7.29,0.62,0.36,0.79,1.28,2.73,10.18,3.19,42,Jawar
88,35,252,7.98,0.88,0.53,6.08,0.666,3.246,5.906,3.184,110,Cotton
88,73,252,7.94,0.45,0.23,3.8,0.63,6.412,4.878,3.184,83,Cotton
28,24,102,8.4,0.56,0.4,0.38,3.444,3.008,8.14,3.182,115,Cotton
113,12,168,8.04,0.11,0.42,2.28,2.578,11.73,19.33,3.182,64,Jawar
128,166,152,8.24,0.56,0.68,0.61,0.63,7.23,4.72,3.18,27,Cotton
162,36,260,7.69,0.6,0.34,0.59,8.31,1.45,5.16,3.18,25,Jawar
106,134,40,8.41,3.66,0.79,0.22,0.74,7.23,8.41,3.18,10,Cotton
141,250,176,7.71,0.29,0.98,1.38,0.77,2.37,10.17,3.17,79,Cotton
75,18,486,7.16,0.18,0.27,4.56,0.354,5.922,10.45,3.17,60,Cotton
100,18,522,7.92,0.16,0.33,5.7,0.422,4.302,10.31,3.17,40,Cotton
142,51,530,7.45,0.63,0.34,0.58,0.85,0.6,2.16,3.17,33,Cotton
181,59,260,7.42,0.06,0.39,1.14,13.51,13.51,11.21,3.17,29,Cotton
194,44,408,8.16,0.23,0.41,0.59,2.45,0.138,8.68,3.17,19,Cotton
219,59,360,8.63,0.32,0.68,1.63,0.19,3.5,4.17,3.17,18,Cotton
49,70,282,7.59,0.44,0.19,3.126,0.16,11.23,7.72,3.168,53,Cotton
123,31,329,6.43,0.05,0.2,2.28,2.15,14.28,26.44,3.166,102,Jawar
138,116,133,7.8,0.26,0.24,1.9,0.234,23.44,13.74,3.166,76,Cotton
80,79,309,8.29,0.33,0.19,1.305,0.395,7.592,5.12,3.166,65,Cotton
62,66,415,8.41,0.19,0.32,1.271,0.42,7.492,4.175,3.165,70,Cotton
199,47,306,7.67,0.61,0.67,1.72,10.31,9.622,4.001,3.162,62,Cotton
176,41,342,8.09,0.15,0.33,2.45,0.5,24.04,8.642,3.162,51,Cotton
3,244,112,8.42,0.32,0.5,1.18,0.46,11.6,6.94,3.16,81,Cotton
297,69,272,8.45,0.32,0.74,1.31,0.49,12.15,6.49,3.16,62,Cotton
53,109,160,8.81,0.28,0.59,0.96,0.46,11.6,6.94,3.16,59,Cotton
153,163,160,8.73,0.33,0.71,1.02,0.3,6.17,5.43,3.16,57,Cotton
167,37,498,7.92,0.59,0.67,5.67,0.91,5.75,6.28,3.16,42,Jawar
216,119,240,8.58,0.38,0.62,1.06,0.3,2.95,5.43,3.16,37,Cotton
106,22,660,7.09,0.36,0.41,0.59,6.55,1.5,4.21,3.16,33,Jawar
230,33,334,8,0.71,0.28,8.37,0.62,0.65,4.54,3.16,21,Jawar
188,43,624,8.57,0.75,0.54,8.37,0.62,0.65,2.98,3.16,21,Cotton
125,44,768,7.84,0.27,0.42,0.91,1.53,0.34,4.22,3.16,19,Cotton
219,106,192,8.54,0.72,0.62,1.86,0.23,6.17,4.77,3.16,13,Cotton
210,184,168,8.84,0.24,0.65,0.61,0.8,10.34,5.55,3.16,10,Cotton
39.4,169,142,8.14,0.19,0.28,1.09,1.046,4.04,3.336,3.158,112,Cotton
163,7,541,7.36,0.81,0.45,1.4,0.588,7.112,4.526,3.158,40,Jawar
186,22,326,8.18,0.07,0.41,0.59,1.41,0.35,12.61,3.15,48,Jawar
119,51,456,8.27,0.59,0.89,2.1,4.4,0.11,9.7,3.15,48,Cotton
63,33,342,8.54,0.46,0.57,9.88,0.494,7.174,7.34,3.15,48,Cotton
88,15,630,7.08,0.36,0.3,6.84,0.336,8.01,7.34,3.15,46,Cotton
172,29,449,8.11,0.08,0.22,0.68,1.13,1.46,18.22,3.15,33,Jawar
151,40,707,7.36,0.31,0.33,0.74,1.39,0.39,10.65,3.15,33,Cotton
136,18,673,8.06,0.05,0.34,0.69,1.46,1.56,6.12,3.15,24,Jawar
156,297,168,8.1,0.36,0.74,0.86,0.69,11.99,6.56,3.14,44,Cotton
94,56,376,7.14,0.49,0.74,1.41,0.46,5.89,3.28,3.14,12,Cotton
14.7,184,330,7.64,0.16,0.16,1.09,3.95,12.79,8.354,3.138,167,Cotton
56.4,106,246,7.81,0.4,0.44,1.28,4.698,12.49,4.982,3.138,162,Cotton
69,166,114,7.92,0.18,0.25,3.04,4.64,10.57,8.466,3.138,136,Cotton
103.5,184,348,7.62,0.52,0.2,0.99,4.266,10.72,7.004,3.138,92,Cotton
113,19,25,6.94,0.59,0.15,4.18,2.506,11.98,10.79,3.132,144,Jawar
169,181,108,7.35,0.35,0.4,1.02,2.228,19.15,3.058,3.132,140,Rice
125,4,273,7.93,0.21,0.59,1.14,2.228,3.058,20.1,3.132,30,Jawar
128,89,84,7.49,0.09,0.29,0.38,2.336,14.05,15.18,3.132,15,Cotton
90,88,320,8.35,0.27,0.42,1.18,0.121,7.392,4.13,3.13,72,Rice
178,106,64,8.95,0.32,0.73,1.31,0.35,7.62,2.58,3.13,64,Cotton
119,33,503,8.16,0.24,0.69,0.62,2.97,0.46,1.83,3.13,52,Rice
178,100,240,9.29,0.32,0.54,1.41,0.6,5.86,6.85,3.13,44,Rice
182,62,585,7.31,0.23,0.69,0.83,2.2,0.98,26.3,3.13,43,Rice
116,33,70,8.09,0.32,0.36,1.16,0.99,1.1,11.61,3.13,41,Cotton
122,6,200,8.14,0.27,0.7,0.51,0.28,10.34,5.1,3.13,41,Jawar
156,58,415,8.07,0.38,0.42,0.59,2.32,0.73,19.6,3.13,33,Rice
15,38,104,7.89,0.61,0.67,0.74,1.16,3.12,5.85,3.13,30,Cotton
144,36,490,8.08,0.48,0.32,0.58,1.52,3.89,2.28,3.13,5,Rice
93,32,268,7.78,0.44,0.18,1.17,0.62,15.216,10.362,3.126,86,Cotton
31.4,238,84,7.15,0.78,0.32,2.75,2.612,2.792,23.96,3.124,8,Cotton
113,66,315,7.56,0.56,0.23,3.04,0.328,9.468,11.1,3.12,68,Cotton
100,22,558,7.86,0.36,0.15,1.52,0.456,11.91,10.33,3.12,48,Cotton
125,55,342,8.17,0.32,0.45,3.42,0.55,8.51,10.63,3.12,26,Cotton
15,139,130,7.15,0.11,0.2,1.9,2.402,11.75,0.554,3.116,182,Cotton
16,291,66,8.28,0.27,0.32,0.29,2.406,12.36,1.478,3.116,59,Cotton
75,15,756,7.23,0.08,0.27,3.04,3.88,23.36,14.97,3.116,38,Cotton
126,15,312,7.94,0.13,0.6,2.7,0.32,4.34,6.94,3.11,72,Jawar
183,32,564,7.69,0.88,0.5,3.51,0.42,4.82,6.53,3.11,72,Jawar
108,44,374,7.62,0.12,0.4,1.14,0.004,0.894,7.202,3.11,43,Cotton
147,29,605,7.35,0.15,0.41,0.92,1.24,4.79,1.97,3.11,33,Jawar
88,112,196,7.58,0.19,0.77,5.7,0.558,6.6612,6.422,3.106,34,Cotton
113,30,666,7.56,0.58,0.38,5.7,0.278,8.22,7.566,3.102,29,Jawar
109,119,320,7.65,0.19,0.74,1.28,0.76,2.94,18.92,3.1,72,Cotton
168,44,496,8.17,0.54,0.31,0.59,1.63,1.31,11.01,3.1,48,Cotton
113,18,567,8.46,0.44,0.45,2.66,0.254,10.94,1.1,3.1,46,Jawar
113,73,396,7.88,0.45,0.42,5.7,0.778,5.91,16,3.1,37,Cotton
134,119,376,7.92,0.44,0.58,0.48,0.49,2.37,24.88,3.1,34,Cotton
206,51,347,8.22,0.31,0.34,0.72,2.39,0.73,5.11,3.1,33,Cotton
132,18,401,8.05,0.32,0.5,0.96,3.48,0.15,4.79,3.1,29,Jawar
124,38,560,7.3,0.14,1.43,0.48,0.57,3.84,0.67,3.1,24,Jawar
13,66,513,7.93,0.15,0.41,3.15,0.686,6.042,13.85,3.098,54,Cotton
193,57,534,8.42,0.08,0.74,7.02,1.36,3.88,6.86,3.09,61,Cotton
255,39,420,8.33,0.11,0.37,5.13,1.4,6.91,6.24,3.09,42,Jawar
75,81,532,8.1,0.23,0.48,1.14,0.692,6.552,6.678,3.086,68,Cotton
216,172,120,6.89,0.21,0.13,0.93,2.592,19.03,6.682,3.082,171,Cotton
144,188,108,7.18,0.48,0.46,1.22,2.242,19.33,21.94,3.082,144,Cotton
63,81,539,8.12,0.14,0.12,4.56,2.584,8.992,0,3.082,83,Cotton
26.3,56,156,8.08,0.18,0.35,1.93,0.974,3.944,3.69,3.08,134,Cotton
219,49,422,7.3,0.39,0.71,0.59,2.86,1.35,18.16,3.08,80,Cotton
172,18,286,8.06,0.38,0.34,0.96,1.64,0.11,8.16,3.07,43,Jawar
88,7,640,8.04,0.12,0.6,3.15,0.61,6.108,4.864,3.07,21,Cotton
113,63,261,7.72,0.54,0.39,0.76,0.722,5.436,10.16,3.068,51,Rice
113,30,531,7.39,0.32,0.15,0.38,0.206,7.378,9.862,3.068,46,Rice
188,22,657,8.4,0.12,0.57,2.28,0.328,8.996,10.51,3.068,39,Rice
63,26,378,7.18,0.19,0.32,3.42,0.328,7.864,10.16,3.068,31,Cotton
75,59,549,7.46,0.36,0.27,4.94,0.968,9.158,9.922,3.068,29,Rice
50,18,333,7.54,0.32,0.38,2.66,0.378,5.112,10.33,3.068,26,Cotton
63,37,666,7.46,0.24,0.15,1.14,0.55,8.024,9.628,3.068,26,Cotton
276,88,200,7.05,0.07,0.74,1.18,0.762,5.47,4.078,3.062,64,Rice
216,188,344,8.02,0.32,0.53,1.41,0.35,2.56,7.66,3.06,22,Rice
19,30,639,7.53,0.61,0.06,4.2,0.724,9.384,14.3,3.058,94,Cotton
19,22,720,7.67,0.44,0.29,5.6,0.822,5.85,14.24,3.058,76,Cotton
16,41,387,7.93,0.29,0.25,3.85,0.784,4.702,13.92,3.058,40,Cotton
50,4,585,7.5,0.34,0.36,4.2,0.71,7.766,13.41,3.058,37,Cotton
12.5,291,90,6.3,0.36,0.08,1.99,2.848,2.792,19.62,3.054,7,Cotton
179,36,714,8.16,0.38,0.34,0.83,1.26,0.53,14.38,3.05,62,Rice
107,25,524,7.59,0.67,0.32,0.82,1.89,1,1.04,3.05,57,Rice
162,29,340,7.32,0.17,0.42,0.64,1.43,0.39,11.97,3.05,33,Rice
172,15,619,8.09,0.36,0.33,0.69,1.8,3.72,15.2,3.05,29,Jawar
137,22,598,8.16,0.06,0.34,0.83,1.43,0.32,1.93,3.05,24,Rice
136,33,714,8.07,0.17,0.34,0.94,3.8,1.29,16.19,3.05,19,Rice
98,58,680,7.63,0.11,0.34,0.69,3.32,0.85,8.79,3.05,14,Rice
75,147,126,8.9,0.09,0.41,6.08,0.612,6.808,4.608,3.046,125,Rice
163,27,452,8.2,0.92,0.89,4.18,1.336,7.642,4.738,3.04,113,Rice
84,247,208,5.83,0.38,0.75,0.61,1.36,1.82,8.88,3.04,78,Rice
138,159,264,6.12,0.4,0.59,0.99,0.43,3.3,6.03,3.04,38,Rice
185,200,224,6.34,0.75,0.66,1.12,1.04,6.65,3.09,3.04,31,Rice
106,51,646,8.16,0.22,0.42,0.74,1.48,0.45,19.34,3.04,29,Rice
188,63,729,7.43,0.18,0.41,1.75,0.924,24.64,9.28,3.034,31,Rice
121,54,333,7.63,0.3,0.48,0.86,1.47,0.6,4.536,3.032,24,Rice
196,15,469,7.66,0.42,0.36,0.96,0.46,3.052,4.74,3.03,96,Jawar
188,178,216,7.99,0.36,0.67,0.8,0.67,7.4,22.42,3.03,73,Rice
50,56,264,8.56,0.11,0.91,1.18,0.34,12.7,6.04,3.03,47,Cotton
216,163,200,7.73,0.21,0.52,0.77,0.42,13.25,1.94,3.03,40,Rice
182,36,415,7.09,0.31,0.71,0.68,1.65,0.63,12.24,3.03,38,Rice
250,197,184,8.43,0.21,0.74,1.34,0.77,8.66,20.44,3.03,34,Rice
210,209,168,8.34,0.44,0.75,0.96,0.05,2.31,17.85,3.03,14,Rice
119,209,248,9.62,0.37,0.58,0.86,0.65,4.76,11.26,3.03,11,Rice
63,15,72,7.62,0.5,0.33,1.75,0.538,1.284,13.22,3.026,51,Cotton
207,234,48,8.25,0.39,0.56,0.86,1.868,1.62,4.2,3.026,37,Cotton
163,18,693,0.69,0.36,0.36,3.85,0.978,15.62,7.564,3.026,34,Jawar
53.3,150,198,7.04,0.7,0.59,1.31,0.662,10.96,5.488,3.024,172,Cotton
207,116,276,8.85,0.3,0.62,1.7,0.63,10.34,5.1,3.02,70,Rice
141,75,192,8.42,0.23,0.66,0.67,1.09,8.29,3.95,3.02,60,Rice
40,197,280,8.5,0.5,0.6,0.35,0.97,6.64,5.55,3.02,48,Cotton
150,91,216,8.61,0.49,0.74,0.67,1.14,8.29,5.97,3.02,41,Rice
31,166,264,8.79,0.09,0.61,0.7,0.54,1.62,6.46,3.02,33,Cotton
179,25,210,7.59,0.52,0.32,0.59,4.29,9.97,22.42,3.02,32,Rice
22,116,144,8.92,0.29,0.59,0.83,0.23,3.11,5.97,3.02,31,Cotton
125,163,104,8.56,0.29,0.58,1.47,1.14,0.14,3.95,3.02,31,Rice
134,62,116,8.11,0.22,0.31,0.91,1.47,0.57,15.57,3.02,24,Rice
50,81,128,7.37,0.19,0.74,0.74,1.02,1.93,5.97,3.02,16,Cotton
103,9,160,8.78,0.48,0.75,0.93,0.54,2.4,6.4,3.02,13,Jawar
99,18,430,7,0.07,0.34,2,0.41,2.08,2.08,3.02,11,Jawar
136,29,551,8.24,0.49,0.42,0.32,2.77,0.64,12.7,3.02,10,Rice
16,77,351,7.81,0.58,0.21,4.2,0.674,4.702,14.43,3.018,54,Cotton
138,63,468,8.46,0.17,0.23,4.56,0.674,10.13,10.86,3.018,26,Rice
121,62,231,7.6,0.39,0.36,1.26,1.66,0.95,5.06,3.01,70,Rice
125,135,130,8.19,0.06,0.22,0.34,1.284,1.25,4.568,3.004,200,Rice
116,18,354,7.52,0.11,0.45,0.57,2.552,0.93,7.272,3.004,29,Jawar
37,18,209,7.37,0.3,0.39,0.66,1.86,1.04,7.18,3,36,Cotton
156,41,336,8.73,0.24,0.67,1.09,0.46,12.15,7.9,2.99,82,Rice
150,147,336,7.18,0.34,0.58,0.77,0.53,6.27,10.17,2.99,71,Rice
169,62,313,7.31,0.08,0.41,0.68,1.6,2.19,10.48,2.99,62,Rice
106,97,216,8.7,0.44,0.8,1.28,1.04,16.33,2.93,2.99,56,Rice
136,33,619,8.17,0.33,0.41,0.69,0.89,0.57,2.03,2.99,52,Rice
112,13,240,8.83,0.13,0.69,1.22,0.94,7.9,5.1,2.99,42,Jawar
219,291,112,7.4,0.45,0.46,1.82,1.06,1.81,7.71,2.99,40,Rice
203,247,208,8.6,0.29,0.6,0.61,1.44,3.11,5.97,2.99,29,Rice
213,203,144,8.16,0.41,0.68,1.34,0.52,2.248,10.86,2.99,20,Rice
114,40,360,7.36,0.23,0.33,1.31,1.64,3.77,5.18,2.99,14,Rice
113,37,356,7.45,0.29,0.38,2.1,0.318,16.07,7.234,2.986,25,Rice
34.5,230,66,6.86,0.81,0.25,2.53,3.1,2.35,9.402,2.984,122,Cotton
38,15,729,8.13,0.29,0.38,3.85,0.378,6.808,14.05,2.98,23,Cotton
109,181,232,7.12,0.05,0.52,1.34,0.83,1.07,13.65,2.97,47,Rice
136,33,386,7.66,0.37,0.79,0.81,5.17,4.32,4.59,2.97,41,Rice
188,24,294,8.54,0.58,0.38,0.56,7.63,9.54,2.6,2.97,15,Rice
43.9,63,486,7.82,0.54,0.19,2.11,2.114,16.62,3.576,2.966,105,Cotton
261,39,696,8.49,0.58,0.27,2.7,1.3,4.55,13.94,2.96,50,Rice
156,18,666,7.45,0.35,0.28,2.6,1.87,4.35,9.8,2.96,47,Jawar
192,29,537,7.32,0.06,0.27,1.72,1.79,6.11,10.75,2.96,19,Rice
106,40,306,7.92,0.11,0.29,2,1.22,0.528,1.402,2.952,19,Rice
34,75,208,6.75,0.11,0.71,1.28,0.4,1.62,5.28,2.95,80,Cotton
128,19,344,8.18,0.22,0.56,0.93,1.23,2.4,6.4,2.95,71,Jawar
270,119,184,8.04,0.24,0.7,1.22,0.5,3.38,17.7,2.95,62,Rice
235,103,192,8.82,0.49,0.67,1.18,1.02,15.92,5.98,2.95,56,Rice
141,33,428,8.16,0.07,0.48,0.74,1.83,2.42,20.54,2.95,38,Rice
62,163,272,8.06,0.22,0.64,0.58,0.61,3.58,5.1,2.95,24,Cotton
22,128,176,8.81,0.23,0.74,1.41,1.02,15.92,5.94,2.95,23,Cotton
200,144,152,8.29,0.41,0.71,0.9,1.28,1.62,2.9,2.95,14,Rice
171,40,734,8.09,0.29,0.41,0.91,5.84,1.15,15.63,2.95,5,Rice
16,63,756,7.47,0.26,0.45,4.2,0.6,4.51,14.17,2.94,29,Cotton
286,18,396,8.2,0.29,0.52,5.67,0.26,3.65,5.56,2.94,24,Jawar
113,106,54,7.39,0.16,0.24,1.35,1.138,8.402,14.4,2.938,16,Cotton
100,33,330,7.24,0.36,0.42,4.55,0.252,6.776,4.638,2.936,51,Rice
100,116,28,8.42,0.12,0.29,5.7,1.704,25.32,10.32,2.932,287,Cotton
164,18,347,7.36,0.26,0.41,0.74,0.52,0.82,5.97,2.93,52,Jawar
172,62,605,8.11,0.36,0.31,0.98,2.85,13.5,9.03,2.93,48,Rice
173,68,282,7.57,0.16,0.63,1.08,1.61,3.47,4.74,2.93,45,Rice
173,39,360,7.93,0.29,0.52,7.02,0.67,3.81,1.53,2.93,45,Rice
168,15,496,8.19,0.21,0.29,0.68,1.6,3.81,2.18,2.93,43,Jawar
119,18,299,7.35,0.32,0.34,0.74,1.1,0.71,4.4,2.93,29,Jawar
185,12,156,8.6,1.34,0.38,7.98,0.886,2.342,2.708,2.926,38,Jawar
94,103,72,8.7,1.3,0.68,1.02,0.31,3.58,2.11,2.92,71,Cotton
100,53,200,8.57,1.19,0.6,0.61,0.23,2.79,1.33,2.92,40,Rice
117,15,469,7.41,0.44,0.41,0.68,8.54,5.06,3.8,2.92,38,Jawar
106,22,333,7.09,0.07,0.32,0.74,0.82,8.16,3.8,2.92,33,Rice
105,44,320,7.61,0.21,0.34,0.86,0.66,5.18,16.5,2.92,29,Rice
191,15,612,7.31,0.33,0.39,0.91,6.13,2.21,6.39,2.92,24,Jawar
88,7,534,8.02,0.29,0.39,4.56,0.254,10.61,10.92,2.916,91,Jawar
100,81,432,8.16,0.18,0.33,3.42,0.55,9.802,10.82,2.916,74,Rice
20,53,84,6.74,0.56,0.17,2.18,2.982,2.904,6.876,2.912,36,Cotton
15.7,156,72,6.81,0.54,0.35,1.64,2.544,2.35,16.04,2.912,14,Cotton
194,109,224,7.74,0.2,0.76,0.9,0.5,3.5,15.09,2.91,72,Rice
245,26,414,8.33,0.39,0.36,4.59,1.19,4.62,3.89,2.91,61,Rice
292,69,347,7.36,0.19,0.38,0.71,2.29,3.31,19.05,2.91,57,Rice
185,138,168,7.92,0.24,0.67,0.67,0.63,4.01,11.65,2.91,57,Rice
250,284,208,8.57,0.36,0.61,1.76,0.2,2.12,1.77,2.91,54,Rice
189,35,510,7.54,0.38,0.16,1.62,0.36,8.06,5.38,2.91,45,Rice
141,163,528,6.66,0.22,0.67,0.74,1.29,4.01,11.65,2.91,42,Rice
250,57,552,8.1,0.84,0.31,6.48,0.79,3.67,3.79,2.91,40,Rice
109,238,144,8.68,0.39,0.96,1.15,1.02,6.02,4.48,2.91,38,Rice
129,20,551,7.36,0.21,0.36,0.97,0.66,3.13,15.79,2.91,32,Rice
225,241,376,8.5,0.38,0.61,1.18,0.56,6.14,15.33,2.91,27,Rice
106,203,96,6.93,0.35,0.52,0.8,0.66,6.02,4.66,2.91,20,Cotton
241,109,472,7.92,0.23,0.66,1.31,0.34,5.49,9.89,2.9,131,Rice
257,81,96,6.7,0.14,0.55,1.28,0.4,3.348,7.366,2.9,48,Cotton
50,141,296,6.64,0.38,0.73,1.34,0.53,10.1,4.8,2.9,46,Cotton
194,29,422,8.16,0.44,0.34,0.74,1.12,0.47,17.91,2.9,38,Rice
159,172,224,8.8,1.74,0.58,0.74,0.9,2.17,5.91,2.9,35,Rice
203,88,200,8.23,1.88,0.68,1.7,1.11,2.01,9.4,2.9,24,Rice
145,51,605,8.06,0.13,0.34,0.63,1.72,0.3,1.85,2.9,19,Rice
138,52,711,7.64,0.16,0.62,2.8,0.23,10.03,11.55,2.896,40,Rice
113,89,268,7.81,0.11,0.45,4.55,0.756,7.112,4.468,2.892,111,Rice
100,11,507,7.77,0.5,0.27,3.15,0.594,16.75,11.81,2.892,63,Jawar
